GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_002,ru.job4j.tracker,MenuTracker.DeleteItem,3,24,1,1,1,8,1,2,0,2
chapter_002,ru.job4j.tracker,MenuTracker.ShowItems,0,81,0,2,0,13,0,3,0,2
chapter_002,ru.job4j.tracker,MenuTracker,0,122,1,3,0,22,1,6,0,5
chapter_002,ru.job4j.tracker,TrackerSingleEnum,16,0,0,0,3,0,2,0,2,0
chapter_002,ru.job4j.tracker,StubInput,0,56,0,6,0,13,0,6,0,3
chapter_002,ru.job4j.tracker,MenuTracker.FindItemByName,60,8,4,0,10,3,3,1,1,1
chapter_002,ru.job4j.tracker,MenuTracker.FindItemById,3,56,1,1,1,11,1,2,0,2
chapter_002,ru.job4j.tracker,ValidateInput,5,32,0,2,1,14,1,3,1,2
chapter_002,ru.job4j.tracker,MenuTracker.UpdateItem,3,61,1,1,1,12,1,2,0,2
chapter_002,ru.job4j.tracker,Item,48,50,0,0,9,20,5,8,5,8
chapter_002,ru.job4j.tracker,TrackerSingleInsert,7,0,0,0,4,0,3,0,3,0
chapter_002,ru.job4j.tracker,MenuTracker.ExitProgram,4,8,0,0,2,3,1,1,1,1
chapter_002,ru.job4j.tracker,StartUI,14,52,0,4,3,13,1,4,1,2
chapter_002,ru.job4j.tracker,MenuTracker.AddItem,0,63,0,0,0,12,0,2,0,2
chapter_002,ru.job4j.tracker,TrackerSingleLazy,10,0,2,0,4,0,3,0,2,0
chapter_002,ru.job4j.tracker,MenuOutException,0,4,0,0,0,2,0,1,0,1
chapter_002,ru.job4j.tracker,ConsoleInput,49,0,6,0,13,0,6,0,3,0
chapter_002,ru.job4j.tracker,BaseAction,3,25,0,0,1,5,1,2,1,2
chapter_002,ru.job4j.tracker,TrackerSingleEager,12,0,0,0,5,0,4,0,4,0
chapter_002,ru.job4j.tracker,TrackerSingleInsert.Holder,6,0,0,0,1,0,1,0,1,0
chapter_002,ru.job4j.tracker,Item.CompareItem,16,0,0,0,2,0,2,0,2,0
chapter_002,ru.job4j.tracker,Tracker,5,144,6,10,1,35,6,11,0,9
chapter_002,ru.job4j.pseudo,Square,0,26,0,0,0,7,0,2,0,2
chapter_002,ru.job4j.pseudo,Paint,0,8,0,0,0,3,0,2,0,2
chapter_002,ru.job4j.pseudo,Triangle,0,26,0,0,0,7,0,2,0,2
chapter_002,ru.job4j.pseudo,StartPseudo,18,0,0,0,5,0,2,0,2,0
